,T [C],P [bar],b [mol/kg],gamma[-],phi [-],Sx/R [-],Hx/RT [-],Cp_x/R [-],rho [g/cm^3],s [J/g.K],h [J/g]
894,290,600.0,1,0.366,0.784,5.82,4.041,23.54,0.85015,6.264,-698.5
895,300,600.0,1,0.347,0.768,6.666,4.412,27.23,0.83746,6.336,-657.3
896,0,800.0,1,0.672,0.938,0.296,-0.316,6.14,1.07605,3.442,-1814.5
897,10,800.0,1,0.679,0.944,0.488,-0.115,4.7,1.07296,3.577,-1777.1
898,20,800.0,1,0.683,0.949,0.638,-0.022,4.01,1.0694,3.708,-1739.4
899,25,800.0,1,0.684,0.95,0.704,0.044,3.81,1.06747,3.772,-1720.4
900,30,800.0,1,0.684,0.951,0.766,0.105,3.67,1.06543,3.835,-1701.4
901,40,800.0,1,0.684,0.953,0.882,0.216,3.5,1.06108,3.959,-1663.3
902,50,800.0,1,0.681,0.953,0.991,0.316,3.45,1.05637,4.079,-1625.2
903,60,800.0,1,0.677,0.953,1.096,0.41,3.46,1.05134,4.195,-1586.9
904,70,800.0,1,0.671,0.951,1.199,0.5,3.58,1.04601,4.308,-1548.7
905,80,800.0,1,0.665,0.95,1.304,0.589,3.72,1.04039,4.418,-1510.4
906,90,800.0,1,0.658,0.947,1.41,0.671,3.91,1.03451,4.525,-1472.0
907,100,800.0,1,0.65,0.945,1.519,0.767,4.13,1.02836,4.63,-1433.6
908,110,800.0,1,0.64,0.941,1.632,0.858,4.38,1.02197,4.731,-1395.2
909,110,800.0,1,0.64,0.941,1.632,1.474,4.38,1.02197,4.731,-1395.2
910,120,800.0,1,0.631,0.938,1.748,0.951,4.67,1.01534,4.831,-1356.7
911,130,800.0,1,0.62,0.933,1.869,1.047,4.99,1.00847,4.927,-1318.1
912,140,800.0,1,0.609,0.929,1.996,1.147,5.35,1.00139,5.022,-1279.5
913,150,800.0,1,0.597,0.924,2.129,1.251,5.75,0.99408,5.114,-1240.8
914,160,800.0,1,0.585,0.918,2.268,1.36,6.18,0.98655,5.205,-1202.2
915,180,800.0,1,0.559,0.906,2.568,1.594,7.17,0.97085,5.38,-1124.6
916,190,800.0,1,0.545,0.899,2.731,1.72,7.73,0.96266,5.465,-1085.8
917,200,800.0,1,0.531,0.891,2.902,1.853,8.34,0.95424,5.548,-1046.9
918,210,800.0,1,0.516,0.883,3.083,1.994,9.0,0.94559,5.629,-1008.0
919,220,800.0,1,0.501,0.875,3.275,2.144,9.73,0.93669,5.709,-969.0
920,230,800.0,1,0.486,0.866,3.479,2.302,10.54,0.92754,5.787,-929.9
921,240,800.0,1,0.47,0.856,3.695,2.472,11.44,0.91811,5.865,-890.7
922,250,800.0,1,0.454,0.846,3.925,2.652,12.45,0.9084,5.94,-851.4
923,260,800.0,1,0.437,0.835,4.171,2.847,13.6,0.89839,6.015,-812.0
924,270,800.0,1,0.42,0.823,4.436,3.057,14.94,0.88804,6.088,-772.5
925,280,800.0,1,0.403,0.811,4.723,3.286,16.52,0.87733,6.161,-732.9
926,290,800.0,1,0.386,0.797,5.035,3.537,18.45,0.86623,6.232,-693.3
927,300,800.0,1,0.368,0.782,5.381,3.818,20.87,0.85469,6.302,-653.5
928,0,1000.0,1,0.68,0.943,0.339,-0.319,5.51,1.08367,3.437,-1797.4
929,10,1000.0,1,0.686,0.948,0.513,-0.137,4.29,1.08036,3.571,-1760.2
930,20,1000.0,1,0.689,0.952,0.65,0.003,3.7,1.07664,3.701,-1722.7
931,25,1000.0,1,0.69,0.953,0.711,0.063,3.53,1.07463,3.765,-1703.9
932,30,1000.0,1,0.69,0.954,0.769,0.119,3.41,1.07254,3.828,-1685.0
933,40,1000.0,1,0.689,0.955,0.817,0.222,3.27,1.06811,3.951,-1647.1
934,50,1000.0,1,0.686,0.956,0.978,0.315,3.22,1.06336,4.07,-1609.1
935,60,1000.0,1,0.682,0.955,1.076,0.402,3.23,1.05832,4.186,-1571.1
936,70,1000.0,1,0.677,0.954,1.172,0.484,3.37,1.05298,4.298,-1533.0
937,80,1000.0,1,0.671,0.952,1.211,0.567,3.51,1.0474,4.408,-1494.9
938,90,1000.0,1,0.664,0.95,1.371,0.651,3.68,1.04157,4.514,-1456.8
939,100,1000.0,1,0.656,0.947,1.473,0.734,3.88,1.03549,4.615,-1418.6
940,110,1000.0,1,0.647,0.944,1.579,0.82,4.12,1.02919,4.719,-1380.4
941,120,1000.0,1,0.637,0.941,1.689,0.907,4.38,1.02266,4.818,-1342.1
942,130,1000.0,1,0.627,0.937,1.802,0.997,4.67,1.01592,4.914,-1303.8
943,140,1000.0,1,0.617,0.932,1.921,1.089,5.0,1.00898,5.008,-1265.4
944,150,1000.0,1,0.605,0.927,2.044,1.186,5.35,1.00184,5.1,-1227.0
945,160,1000.0,1,0.594,0.922,2.113,1.286,5.73,0.99449,5.189,-1181.6
946,170,1000.0,1,0.581,0.916,2.309,1.391,6.14,0.98695,5.277,-1150.2
947,180,1000.0,1,0.569,0.91,2.451,1.501,6.58,0.97922,5.363,-1111.7
948,190,1000.0,1,0.555,0.904,2.599,1.615,7.06,0.97128,5.447,-1073.2
949,200,1000.0,1,0.542,0.897,2.756,1.736,7.57,0.96315,5.529,-1034.7
950,210,1000.0,1,0.528,0.889,2.92,1.862,8.13,0.95481,5.61,-996.1
951,220,1000.0,1,0.513,0.881,3.092,1.995,8.73,0.94621,5.689,-957.5
952,230,1000.0,1,0.498,0.873,3.274,2.136,9.39,0.93751,5.767,-918.9
953,240,1000.0,1,0.483,0.864,3.466,2.284,10.11,0.92852,5.843,-880.2
954,250,1000.0,1,0.468,0.854,3.668,2.441,10.91,0.9193,5.917,-841.5
955,260,1000.0,1,0.452,0.843,3.883,2.608,11.81,0.90984,5.991,-802.8
956,270,1000.0,1,0.436,0.832,4.112,2.787,12.86,0.90011,6.063,-764.0
957,280,1000.0,1,0.42,0.82,4.358,2.98,14.11,0.89011,6.134,-725.2
958,290,1000.0,1,0.403,0.808,4.624,3.191,15.65,0.87979,6.203,-686.4
959,300,1000.0,1,0.386,0.794,4.916,3.424,17.63,0.86914,6.271,-647.7
960,0,1.0,2,0.626,0.951,-0.455,-1.292,15.12,1.08058,3.376,-1788.4
961,10,1.0,2,0.649,0.968,0.002,-0.798,10.81,1.07769,3.508,-1751.6
962,20,1.0,2,0.664,0.979,0.337,-0.442,8.71,1.07421,3.637,-1714.6
963,25,1.0,2,0.669,0.984,0.479,-0.294,8.07,1.07228,3.699,-1696.1
964,30,1.0,2,0.672,0.987,0.609,-0.161,7.6,1.07022,3.761,-1677.5
965,40,1.0,2,0.676,0.992,0.845,0.077,7.01,1.06577,3.862,-1640.2
966,50,1.0,2,0.676,0.995,1.06,0.286,6.72,1.06089,3.999,-1602.9
967,60,1.0,2,0.672,0.996,1.263,0.478,6.65,1.05561,4.113,-1565.6
968,60,1.0,2,0.672,0.996,1.263,0.478,6.65,1.05561,4.331,-1565.6
969,70,1.0,2,0.666,0.995,1.458,0.656,6.72,1.04976,4.224,-1528.2
970,90,1.0,2,0.647,0.99,1.85,1.002,7.21,1.03733,4.436,-1453.4
971,100,1.0,2,0.635,0.985,2.052,1.173,7.51,1.03064,4.538,-1415.9
972,110,1.4,2,0.621,0.979,2.259,1.348,8.11,1.02367,4.637,-1378.3
973,120,2.0,2,0.606,0.973,2.475,1.527,8.7,1.0164,4.734,-1340.6
974,130,2.7,2,0.589,0.966,2.702,1.713,9.41,1.00884,4.828,-1302.9
975,140,3.6,2,0.572,0.957,2.941,1.908,10.22,1.00099,4.921,-1265.1
976,150,4.8,2,0.553,0.948,3.196,2.115,11.18,0.99283,5.011,-1227.2
977,160,6.2,2,0.534,0.939,3.468,2.335,12.28,0.98437,5.1,-1189.1
978,170,7.9,2,0.514,0.928,3.76,2.572,13.57,0.97559,5.186,-1151.0
979,180,10.0,2,0.493,0.916,4.076,2.828,15.08,0.96647,5.271,-1112.6
980,190,12.5,2,0.472,0.904,4.42,3.108,16.85,0.957,5.355,-1074.2
981,200,15.5,2,0.45,0.891,4.796,3.415,18.98,0.94716,5.437,-1035.5
982,210,19.1,2,0.427,0.877,5.211,3.756,21.54,0.93692,5.517,-996.6
983,220,23.2,2,0.405,0.862,5.671,4.138,24.59,0.92625,5.597,-957.4
984,230,28.0,2,0.382,0.846,6.189,4.57,28.51,0.91514,5.675,-917.9
985,240,33.4,2,0.358,0.829,6.777,5.066,33.51,0.90354,5.752,-878.2
986,250,39.7,2,0.335,0.811,7.453,5.643,40.11,0.89144,5.828,-838.0
987,260,46.9,2,0.311,0.792,8.245,6.326,48.79,0.8788,5.903,-797.4
988,270,55.0,2,0.287,0.771,9.19,7.152,60.57,0.86562,5.978,-756.4
989,280,64.1,2,0.263,0.748,10.342,8.174,77.47,0.85188,6.052,-714.9
990,290,74.4,2,0.238,0.723,11.787,9.473,102.02,0.83764,6.125,-672.9
991,300,85.8,2,0.214,0.696,13.657,11.178,139.36,0.82299,6.197,-630.5
992,0,200.0,2,0.641,0.96,-0.322,-1.13,13.2,1.08876,3.371,-1771.3
993,10,200.0,2,0.662,0.975,0.081,-0.696,9.62,1.08563,3.503,-1734.8
994,20,200.0,2,0.675,0.986,0.381,-0.377,7.87,1.08199,3.63,-1698.1
995,25,200.0,2,0.679,0.989,0.509,-0.243,7.33,1.08,3.692,-1679.6
996,30,200.0,2,0.682,0.993,0.628,-0.122,6.94,1.0779,3.754,-1661.2
997,40,200.0,2,0.686,0.997,0.844,0.095,6.45,1.0734,3.874,-1624.2
998,50,200.0,2,0.685,0.999,1.043,0.288,6.22,1.06852,3.991,-1557.1
999,60,200.0,2,0.682,1.0,1.231,0.464,6.16,1.06327,4.104,-1550.0
1000,70,200.0,2,0.675,0.999,1.414,0.631,6.23,1.05761,4.213,-1512.9
1001,80,200.0,2,0.667,0.997,1.596,0.792,6.41,1.05171,4.32,-1475.7
1002,90,200.0,2,0.657,0.994,1.778,0.95,6.68,1.04552,4.424,-1438.5
1003,100,200.0,2,0.645,0.989,1.964,1.108,7.03,1.03905,4.525,-1401.3
1004,110,200.0,2,0.632,0.984,2.155,1.268,7.46,1.03231,4.624,-1364.0
1005,120,200.0,2,0.617,0.978,2.354,1.432,7.98,1.02531,4.72,-1326.7
1006,130,200.0,2,0.601,0.971,2.562,1.602,8.59,1.01805,4.814,-1289.3
1007,140,200.0,2,0.584,0.963,2.781,1.78,9.29,1.01052,4.906,-1251.9
1008,150,200.0,2,0.566,0.955,3.013,1.967,10.1,1.00272,4.995,-1214.4
1009,160,200.0,2,0.548,0.945,3.259,2.165,11.02,0.99465,5.083,-1176.8
1010,170,200.0,2,0.529,0.935,3.522,2.316,12.08,0.98628,5.169,-1139.1
1011,180,200.0,2,0.509,0.925,3.805,2.603,13.29,0.97761,5.253,-1101.4
1012,190,200.0,2,0.488,0.913,4.11,2.849,14.68,0.96862,5.336,-1063.6
1013,200,200.0,2,0.467,0.901,4.44,3.116,16.31,0.95927,5.417,-1025.6
1014,210,200.0,2,0.445,0.887,4.801,3.408,18.22,0.94956,5.496,-987.5
1015,220,200.0,2,0.423,0.873,5.197,3.731,20.5,0.93943,5.575,-949.2
1016,230,200.0,2,0.401,0.858,5.635,4.091,23.26,0.92886,5.652,-910.8
1017,240,200.0,2,0.378,0.842,6.125,4.496,26.67,0.9178,5.728,-872.1
1018,250,200.0,2,0.355,0.824,6.68,4.96,30.98,0.90622,5.804,-833.1
1019,260,200.0,2,0.332,0.805,7.316,5.498,36.56,0.89404,5.878,-793.7
1020,270,200.0,2,0.308,0.785,8.061,6.135,44.02,0.88124,5.952,-754.0
1021,280,200.0,2,0.284,0.764,8.953,6.908,54.34,0.86774,6.025,-713.8
1022,290,200.0,2,0.26,0.74,10.051,7.873,69.22,0.85353,6.098,-673.1
1023,300,200.0,2,0.235,0.715,11.452,9.126,91.74,0.83859,6.171,-631.8
1024,0,400.0,2,0.656,0.969,-0.202,-0.983,11.5,1.09566,3.366,-1754.4
1025,10,400.0,2,0.674,0.982,0.152,-0.601,8.56,1.09331,3.497,-1718.1
1026,20,400.0,2,0.686,0.991,0.421,-0.316,7.11,1.08953,3.623,-1681.6
1027,25,400.0,2,0.689,0.995,0.538,-0.195,6.67,1.08749,3.685,-1663.3
1028,30,400.0,2,0.692,0.997,0.646,-0.085,6.35,1.08535,3.746,-1644.9
1029,40,400.0,2,0.695,1.001,0.845,0.113,5.94,1.0808,3.866,-1608.1
1030,50,400.0,2,0.694,1.003,1.028,0.29,5.75,1.07591,3.982,-1571.3
1031,60,400.0,2,0.69,1.004,1.202,0.453,5.71,1.07069,4.094,-1534.4
1032,70,400.0,2,0.684,1.003,1.373,0.608,5.78,1.06516,4.203,-1497.5
1033,80,400.0,2,0.676,1.0,1.541,0.757,5.94,1.05938,4.309,-1460.6
1034,90,400.0,2,0.666,0.997,1.71,0.903,6.19,1.05333,4.413,-1423.6
1035,100,400.0,2,0.654,0.993,1.883,1.048,6.5,1.04704,4.513,-1386.6
1036,110,400.0,2,0.642,0.988,2.06,1.196,6.89,1.0405,4.611,-1349.6
1037,120,400.0,2,0.628,0.982,2.243,1.346,7.35,1.03374,4.707,-1312.5
1038,130,400.0,2,0.612,0.976,2.434,1.502,7.89,1.02674,4.8,-1275.3
1039,140,400.0,2,0.596,0.969,2.635,1.663,8.49,1.01951,4.891,-1238.2
1040,150,400.0,2,0.579,0.961,2.846,1.833,9.19,1.01205,4.98,-1201.0
1041,160,400.0,2,0.562,0.952,3.069,2.011,9.97,1.00435,5.067,-1163.7
1042,170,400.0,2,0.543,0.943,3.307,2.201,10.84,0.9954,5.152,-1126.4
1043,180,400.0,2,0.524,0.933,3.559,2.402,11.83,0.9882,5.235,-1089.1
1044,190,400.0,2,0.505,0.922,3.829,2.617,12.95,0.97974,5.317,-1051.7
1045,200,400.0,2,0.484,0.91,4.119,2.849,14.21,0.97098,5.397,-1014.2
1046,210,400.0,2,0.464,0.898,4.431,3.099,15.65,0.96193,5.476,-976.7
1047,220,400.0,2,0.443,0.885,4.768,3.369,17.31,0.95254,5.553,-939.1
1048,230,400.0,2,0.421,0.87,5.134,3.665,19.23,0.9428,5.628,-901.3
1049,240,400.0,2,0.4,0.855,5.534,3.99,21.49,0.93267,5.703,-863.4
1050,250,400.0,2,0.378,0.839,5.974,4.349,24.18,0.92211,5.776,-825.3
1051,260,400.0,2,0.356,0.822,6.462,4.751,27.46,0.91109,5.849,-787.1
1052,270,400.0,2,0.333,0.803,7.008,5.205,31.53,0.89954,5.92,-748.6
1053,280,400.0,2,0.311,0.783,7.629,5.726,36.69,0.88742,5.991,-709.9
1054,290,400.0,2,0.288,0.762,8.344,6.333,43.45,0.87466,6.061,-670.8
1055,300,400.0,2,0.266,0.739,9.184,7.055,52.55,0.86118,6.13,-631.4
1056,0,600.0,2,0.67,0.977,-0.096,-0.851,10.01,1.10426,3.361,-1737.7
1057,10,600.0,2,0.686,0.988,0.216,-0.515,7.62,1.10073,3.491,-1701.6
1058,20,600.0,2,0.696,0.996,0.458,-0.26,6.45,1.09583,3.617,-1665.3
1059,25,600.0,2,0.699,0.999,0.564,-0.151,6.09,1.09474,3.678,-1647.1
1060,30,600.0,2,0.701,1.002,0.663,-0.05,5.82,1.09256,3.739,-1628.8
1061,40,600.0,2,0.703,1.005,0.846,0.132,5.48,1.08796,3.858,-1592.2
1062,50,600.0,2,0.702,1.007,1.016,0.294,5.33,1.08305,3.973,-1555.6
1063,60,600.0,2,0.698,1.007,1.177,0.445,5.29,1.07785,4.085,-1518.9
1064,70,600.0,2,0.692,1.006,1.335,0.587,5.37,1.07241,4.193,-1482.2
1065,80,600.0,2,0.684,1.004,1.491,0.724,5.53,1.06671,4.299,-1445.4
1066,90,600.0,2,0.674,1.001,1.649,0.859,5.75,1.06077,4.402,-1408.7
1067,100,600.0,2,0.663,0.997,1.809,0.994,6.04,1.0546,4.502,-1371.9
1068,110,600.0,2,0.651,0.992,1.973,1.13,6.39,1.04822,4.599,-1335.0
1069,120,600.0,2,0.638,0.987,2.143,1.269,6.81,1.04163,4.694,-1298.1
1070,130,600.0,2,0.623,0.981,2.32,1.413,7.28,1.03484,4.787,-1261.2
1071,140,600.0,2,0.608,0.974,2.504,1.561,7.82,1.02783,4.877,-1224.3
1072,150,600.0,2,0.592,0.967,2.698,1.716,8.42,1.02063,4.966,-1187.4
1073,160,600.0,2,0.575,0.959,2.903,1.878,9.1,1.01322,5.052,-1150.4
1074,170,600.0,2,0.557,0.95,3.119,2.05,9.85,1.0056,5.136,-1113.4
1075,180,600.0,2,0.539,0.94,3.348,2.231,10.69,0.99776,5.219,-1076.4
1076,190,600.0,2,0.52,0.93,3.591,2.423,11.62,0.9897,5.3,-1039.4
1077,200,600.0,2,0.501,0.919,3.85,2.629,12.65,0.9814,5.379,-1002.3
1078,210,600.0,2,0.481,0.908,4.127,2.848,13.81,0.97285,5.456,-965.2
1079,220,600.0,2,0.461,0.895,4.423,3.083,15.11,0.96404,5.533,-928.1
1080,230,600.0,2,0.44,0.882,4.74,3.336,16.57,0.95453,5.607,-890.9
1081,240,600.0,2,0.419,0.867,5.082,3.61,18.24,0.94552,5.68,-853.7
1082,250,600.0,2,0.398,0.852,5.452,3.907,20.16,0.93576,5.753,-816.3
1083,260,600.0,2,0.377,0.836,5.855,4.233,22.4,0.92563,5.823,-778.9
1084,270,600.0,2,0.356,0.818,6.295,4.591,25.07,0.91508,5.893,-741.5
1085,280,600.0,2,0.334,0.799,6.781,4.989,28.3,0.90406,5.962,-703.9
1086,290,600.0,2,0.312,0.779,7.322,5.438,32.29,0.89251,6.029,-666.2
1087,300,600.0,2,0.291,0.757,7.933,5.949,37.37,0.88033,6.096,-628.4
1088,0,800.0,2,0.683,0.984,-0.002,-0.734,8.74,1.11158,3.356,-1721.1
1089,10,800.0,2,0.697,0.994,0.274,-0.431,6.82,1.10791,3.485,-1685.2
1090,20,800.0,2,0.706,1.001,0.492,-0.208,5.86,1.10389,3.61,-1649.1
1091,25,800.0,2,0.708,1.004,0.589,-0.109,5.57,1.10175,3.671,-1631.0
1092,30,800.0,2,0.71,1.006,0.68,-0.017,5.35,1.09954,3.732,-1612.8
1093,40,800.0,2,0.712,1.009,0.848,0.15,5.07,1.0949,3.85,-1576.4
1094,50,800.0,2,0.71,1.01,1.005,0.299,4.94,1.08997,3.964,-1539.9
1095,60,800.0,2,0.706,1.01,1.155,0.438,4.9,1.08478,4.076,-1503.4
1096,70,800.0,2,0.7,1.009,1.3,0.568,5.01,1.07937,4.184,-1466.9
1097,80,800.0,2,0.692,1.007,1.446,0.695,5.16,1.07372,4.289,-1430.3
1098,90,800.0,2,0.683,1.004,1.593,0.821,5.37,1.06785,4.391,-1393.7
1099,100,800.0,2,0.672,1.0,1.743,0.947,5.64,1.06178,4.491,-1357.1
1100,110,800.0,2,0.66,0.996,1.896,1.073,5.96,1.05551,4.587,-1320.4
1101,110,800.0,2,0.66,0.996,1.896,1.921,5.96,1.05551,4.587,-1320.4
1102,120,800.0,2,0.647,0.991,2.054,1.202,6.34,1.04904,4.682,-1283.8
1103,130,800.0,2,0.633,0.985,2.219,1.335,6.77,1.04239,4.774,-1247.1
1104,140,800.0,2,0.619,0.579,2.39,1.472,7.25,1.03555,4.864,-1210.4
1105,150,800.0,2,0.603,0.972,2.57,1.615,7.79,1.02853,4.952,-1173.7
1106,160,800.0,2,0.587,0.964,2.759,1.764,8.39,1.02133,5.038,-1137.0
1107,180,800.0,2,0.552,0.947,3.168,2.087,9.78,1.00637,5.203,-1063.5
1108,190,800.0,2,0.534,0.938,3.39,2.261,10.59,0.9986,5.283,-1026.8
1109,200,800.0,2,0.516,0.927,3.625,2.446,11.47,0.99064,5.362,-990.1
1110,210,800.0,2,0.497,0.916,3.875,2.643,12.44,0.98247,5.439,-953.4
1111,220,800.0,2,0.477,0.904,4.141,2.853,13.52,0.97407,5.514,-916.6
1112,230,800.0,2,0.457,0.892,4.424,3.076,14.72,0.96545,5.588,-879.9
1113,240,800.0,2,0.437,0.878,4.727,3.316,16.07,0.95657,5.66,-843.2
1114,250,800.0,2,0.417,0.864,5.051,3.574,17.61,0.94743,5.731,-806.4
1115,260,800.0,2,0.396,0.848,5.401,3.854,19.37,0.93799,5.8,-769.7
1116,270,800.0,2,0.376,0.831,5.78,4.158,21.45,0.92822,5.869,-733.0
1117,280,800.0,2,0.355,0.813,6.193,4.492,23.93,0.91809,5.936,-696.3
1118,290,800.0,2,0.333,0.794,6.648,4.864,27.0,0.90753,6.001,-659.7
1119,300,800.0,2,0.312,0.773,7.156,5.282,30.91,0.89649,6.066,-623.1
1120,0,1000.0,2,0.695,0.991,0.081,-0.629,7.67,1.11862,3.35,-1704.8
1121,10,1000.0,2,0.707,1.0,0.326,-0.366,6.13,1.11484,3.478,-1669.0
1122,20,1000.0,2,0.715,1.006,0.523,-0.159,5.35,1.11073,3.603,-1633.1
1123,25,1000.0,2,0.717,1.008,0.612,-0.069,5.11,1.10855,3.664,-1615.0
1124,30,1000.0,2,0.719,1.01,0.695,0.015,4.93,1.10631,3.724,-1597.0
1125,40,1000.0,2,0.719,1.012,0.851,0.168,4.69,1.10162,3.842,-1560.1
1126,50,1000.0,2,0.718,1.014,0.996,0.306,4.58,1.09667,3.956,-1524.4
1127,60,1000.0,2,0.713,1.013,1.135,0.433,4.54,1.09149,4.067,-1488.0
1128,70,1000.0,2,0.707,1.012,1.269,0.552,4.1,1.08606,4.174,-1451.7
1129,80,1000.0,2,0.699,1.01,1.406,0.571,4.85,1.08044,4.219,-1415.2
1130,90,1000.0,2,0.69,1.007,1.544,0.789,5.05,1.07461,4.381,-1378.8
1131,100,1000.0,2,0.68,1.004,1.685,0.906,5.3,1.06859,4.48,-1342.4
1132,110,1000.0,2,0.669,0.999,1.829,1.025,5.6,1.06238,4.576,-1305.9
1133,120,1000.0,2,0.656,0.994,1.978,1.146,5.95,1.05599,4.67,-1269.4
1134,130,1000.0,2,0.643,0.989,2.132,1.27,6.34,1.04942,4.762,-1232.9
1135,140,1000.0,2,0.628,0.983,2.293,1.398,6.78,1.04268,4.851,-1196.4
1136,150,1000.0,2,0.613,0.976,2.461,1.531,7.28,1.03578,4.939,-1159.9
1137,160,1000.0,2,0.598,0.969,2.637,1.569,7.82,1.02871,5.024,-1123.4
1138,170,1000.0,2,0.581,0.961,2.822,1.615,8.41,1.02148,5.101,-1086.9
1139,180,1000.0,2,0.565,0.953,3.017,1.967,9.06,1.01407,5.188,-1050.4
1140,190,1000.0,2,0.547,0.944,3.222,2.128,9.78,1.0065,5.268,-1014.0
1141,200,1000.0,2,0.529,0.934,3.439,2.298,10.56,0.99876,5.346,-977.6
1142,210,1000.0,2,0.511,0.924,3.669,2.478,11.41,0.99084,5.422,-941.2
1143,220,1000.0,2,0.492,0.912,3.912,2.568,12.35,0.98274,5.497,-904.8
1144,230,1000.0,2,0.473,0.9,4.17,2.871,13.4,0.97444,5.569,-868.4
1145,240,1000.0,2,0.453,0.887,4.445,3.087,14.56,0.96594,5.641,-832.1
1146,250,1000.0,2,0.433,0.873,4.739,3.319,15.89,0.95723,5.711,-795.9
1147,260,1000.0,2,0.413,0.859,5.054,3.569,17.42,0.94828,5.779,-759.7
1148,270,1000.0,2,0.393,0.842,5.394,3.64,19.24,0.93909,5.847,-723.6
1149,280,1000.0,2,0.372,0.825,5.764,4.137,21.44,0.92962,5.912,-687.6
1150,290,1000.0,2,0.351,0.806,6.172,4.468,24.22,0.91983,5.976,-651.1
1151,300,1000.0,2,0.33,0.785,6.629,4.843,27.86,0.90969,6.039,-616.2
1152,0,1.0,3,0.655,1.005,-0.931,-1.789,19.19,1.1157,3.289,-1702.3
1153,10,1.0,3,0.686,1.025,-0.35,-1.155,13.79,1.11201,3.416,-1667.0
1154,20,1.0,3,0.706,1.039,0.078,-0.696,11.12,1.10795,3.539,-1631.5
1155,25,1.0,3,0.714,1.045,0.259,-0.505,10.29,1.10577,3.6,-1613.7
1156,30,1.0,3,0.719,1.049,0.424,-0.333,9.67,1.10351,3.659,-1595.9
1157,40,1.0,3,0.725,1.054,0.724,-0.027,8.86,1.09872,3.775,-1560.1
1158,50,1.0,3,0.726,1.057,0.995,0.24,8.44,1.09359,3.887,-1524.4
1159,60,1.0,3,0.723,1.058,1.249,0.484,8.28,1.08814,3.996,-1488.6
1160,60,1.0,3,0.723,1.058,1.249,0.484,8.28,1.08814,4.205,-1488.6
1161,70,1.0,3,0.716,1.057,1.49,0.707,8.31,1.08219,4.102,-1452.8
1162,90,1.0,3,0.692,1.049,1.972,1.137,8.79,1.06972,4.305,-1381.1
1163,100,1.0,3,0.676,1.043,2.216,1.347,9.21,1.06309,4.402,-1345.3
1164,110,1.4,3,0.659,1.036,2.466,1.559,9.75,1.05623,4.497,-1309.4
1165,120,2.0,3,0.639,1.027,2.725,1.775,10.41,1.04912,4.59,-1273.4
1166,130,2.7,3,0.619,1.018,2.995,1.998,11.19,1.04177,4.68,-1237.4
1167,140,3.6,3,0.597,1.008,3.28,2.231,12.11,1.03416,4.768,-1201.3
1168,150,4.8,3,0.574,0.997,3.581,2.476,13.19,1.0263,4.855,-1165.1
1169,160,6.2,3,0.55,0.984,3.901,2.736,14.43,1.01818,4.939,-1128.9
1170,170,7.9,3,0.525,0.971,4.244,3.014,15.88,1.00978,5.021,-1092.6
1171,180,10.0,3,0.5,0.957,4.613,3.313,17.57,1.0011,5.102,-1056.2
1172,190,12.5,3,0.475,0.943,5.013,3.638,19.55,0.99212,5.181,-1019.6
1173,200,15.5,3,0.449,0.927,5.448,3.993,21.92,0.98281,5.259,-983.0
1174,210,19.1,3,0.423,0.91,5.926,4.385,24.76,0.97316,5.335,-946.1
1175,220,23.2,3,0.397,0.892,6.455,4.821,28.23,0.96315,5.41,-909.1
1176,230,28.0,3,0.37,0.873,7.046,5.313,32.55,0.95276,5.484,-871.8
1177,240,33.4,3,0.344,0.853,7.714,5.874,38.03,0.94195,5.557,-834.4
1178,250,39.7,3,0.318,0.832,8.479,6.523,45.14,0.93071,5.628,-796.6
1179,260,46.9,3,0.292,0.81,9.37,7.289,54.62,0.91903,5.699,-758.5
1180,270,55.0,3,0.266,0.786,10.427,8.21,67.6,0.90688,5.769,-720.1
1181,280,64.1,3,0.241,0.761,11.712,9.344,85.95,0.8943,5.838,-681.3
1182,290,74.4,3,0.216,0.734,13.316,10.781,112.82,0.88132,5.906,-642.1
1183,300,85.8,3,0.191,0.704,15.387,12.663,153.77,0.86807,5.973,-602.6
1184,0,200.0,3,0.675,1.017,-0.74,-1.561,16.51,1.12324,3.284,-1686.0
1185,10,200.0,3,0.703,1.035,-0.234,-1.009,12.15,1.11942,3.41,-1650.9
1186,20,200.0,3,0.721,1.047,0.146,-0.601,9.97,1.11527,3.532,-1615.6
1187,25,200.0,3,0.728,1.051,0.308,-0.43,9.3,1.11307,3.592,-1597.9
1188,30,200.0,3,0.733,1.055,0.459,-0.274,8.79,1.11079,3.651,-1580.2
1189,40,200.0,3,0.738,1.06,0.732,0.004,8.14,1.10598,3.767,-1544.6
1190,50,200.0,3,0.738,1.063,0.982,0.25,7.8,1.10087,3.818,-1509.1
1191,60,200.0,3,0.734,1.063,1.217,0.474,7.67,1.09546,3.937,-1473.5
1192,70,200.0,3,0.727,1.061,1.444,0.684,7.69,1.08972,4.092,-1437.9
1193,80,200.0,3,0.716,1.058,1.668,0.884,7.85,1.08377,4.195,-1402.3
1194,90,200.0,3,0.703,1.054,1.89,1.08,8.13,1.07759,4.294,-1366.6
1195,100,200.0,3,0.688,1.048,2.116,1.274,8.51,1.07118,4.391,-1331.0
1196,110,200.0,3,0.671,1.041,2.347,1.468,8.99,1.06454,4.435,-1295.3
1197,120,200.0,3,0.653,1.033,2.586,1.667,9.57,1.05768,4.517,-1259.6
